date,temperature_avg,temperature_max,temperature_min,rainfall
2019-01-01,20,27,13,12
2019-02-01,23,30,16,18
2019-03-01,27,35,20,22
2019-04-01,31,39,24,28
2019-05-01,34,42,27,45
2019-06-01,32,39,26,180
2019-07-01,30,35,25,290
2019-08-01,30,35,25,260
2019-09-01,29,34,24,190
2019-10-01,27,34,20,75
2019-11-01,23,30,16,20
2019-12-01,19,26,12,10
2020-01-01,20,27,13,14
2020-02-01,23,30,16,20
2020-03-01,27,35,20,25
2020-04-01,31,39,24,30
2020-05-01,34,42,27,48
2020-06-01,32,39,26,175
2020-07-01,30,35,25,285
2020-08-01,30,35,25,265
2020-09-01,29,34,24,195
2020-10-01,27,34,20,78
2020-11-01,23,30,16,22
2020-12-01,19,26,12,12
2021-01-01,20,27,13,16
2021-02-01,23,30,16,21
2021-03-01,27,35,20,26
2021-04-01,31,39,24,31
2021-05-01,34,42,27,50
2021-06-01,32,39,26,185
2021-07-01,30,35,25,300
2021-08-01,30,35,25,270
2021-09-01,29,34,24,200
2021-10-01,27,34,20,80
2021-11-01,23,30,16,24
2021-12-01,19,26,12,14
2022-01-01,20,27,13,18
2022-02-01,23,30,16,23
2022-03-01,27,35,20,28
2022-04-01,31,39,24,33
2022-05-01,34,42,27,52
2022-06-01,32,39,26,190
2022-07-01,30,35,25,310
2022-08-01,30,35,25,275
2022-09-01,29,34,24,205
2022-10-01,27,34,20,82
2022-11-01,23,30,16,26
2022-12-01,19,26,12,16
2023-01-01,20,27,13,20
2023-02-01,23,30,16,25
2023-03-01,27,35,20,30
2023-04-01,31,39,24,35
2023-05-01,34,42,27,55
2023-06-01,32,39,26,195
2023-07-01,30,35,25,320
2023-08-01,30,35,25,280
2023-09-01,29,34,24,210
2023-10-01,27,34,20,84
2023-11-01,23,30,16,28
2023-12-01,19,26,12,18
2024-01-01,20,27,13,22
2024-02-01,23,30,16,27
2024-03-01,27,35,20,32
2024-04-01,31,39,24,37
2024-05-01,34,42,27,58
2024-06-01,32,39,26,200
2024-07-01,30,35,25,330
2024-08-01,30,35,25,285
2024-09-01,29,34,24,215
2024-10-01,27,34,20,86
2024-11-01,23,30,16,30
2024-12-01,19,26,12,20
